GeneID,GeneName,log2FC,P.Value,adj.P.Value
ENSG00000105467,SYNGR4,5.497305775,0.002915635,0.086486689
ENSG00000105472,CLEC11A,0.885522933,0.277162272,0.560967329
ENSG00000105479,CCDC114,1.118273875,0.472571528,0.779010033
ENSG00000105483,CARD8,-0.332180746,0.335265585,0.6187559
ENSG00000105486,LIG1,0.987397244,0.056410249,0.253923125
ENSG00000105492,SIGLEC6,-1.843142303,0.009960487,0.140004684
ENSG00000105497,ZNF175,-0.414756225,0.276571749,0.560967329
ENSG00000105499,PLA2G4C,-1.352105082,0.005971591,0.116517891
ENSG00000105501,SIGLEC5,-2.624560016,0.000731007,0.044660106
ENSG00000105507,CABP5,-3.55939567,0.005094711,0.109733858
ENSG00000105509,HAS1,-2.431479001,0.096440565,0.322283812
ENSG00000105514,RAB3D,-0.112708068,0.826673547,1
ENSG00000105516,DBP,-0.206775093,0.714709959,1
ENSG00000105518,TMEM205,-0.185561533,0.749380467,1
ENSG00000105519,CAPS,0.576940283,0.641960697,0.951400129
ENSG00000105520,PLPPR2,0.051118916,0.911906038,1
ENSG00000105523,FAM83E,0.57119697,0.464925704,0.770293814
ENSG00000105538,RASIP1,-2.286738916,0.000663969,0.042095391
ENSG00000105549,THEG,3.164941492,0.022972046,0.18431415
ENSG00000105550,FGF21,2.382587341,0.067545795,0.272104193
ENSG00000105552,BCAT2,-0.059157976,0.907292839,1
ENSG00000105556,MIER2,-0.739395937,0.117674808,0.366796815
ENSG00000105559,PLEKHA4,-1.075644955,0.083851798,0.299775878
ENSG00000105568,PPP2R1A,-0.256611508,0.602120725,0.913374494
ENSG00000105576,TNPO2,0.083180617,0.855089913,1
ENSG00000105583,WDR83OS,-0.253240389,0.613243601,0.924289484
ENSG00000105605,CACNG7,10.01123256,0.006001662,0.116517891
ENSG00000105607,GCDH,0.500252819,0.365742645,0.657098244
ENSG00000105609,LILRB5,-0.656878714,0.250489408,0.558178117
ENSG00000105610,KLF1,-0.037831406,0.969212263,1
ENSG00000105612,DNASE2,-0.99875025,0.047604407,0.234352706
ENSG00000105613,MAST1,4.924339972,0.000730482,0.044660106
ENSG00000105617,LENG1,-0.647068485,0.223419731,0.515688275
ENSG00000105618,PRPF31,0.067748898,0.889193129,1
ENSG00000105619,TFPT,-0.409104858,0.434423206,0.740126159
ENSG00000105639,JAK3,1.02882628,0.015502662,0.162427927
ENSG00000105640,RPL18A,0.571025344,0.395963975,0.695062953
ENSG00000105641,SLC5A5,1.551595526,0.187505242,0.463952491
ENSG00000105642,KCNN1,2.573740434,0.021473689,0.180263113
ENSG00000105643,ARRDC2,-1.928131585,0.007253258,0.125718611
ENSG00000105647,PIK3R2,1.312331415,0.065600763,0.26905791
ENSG00000105649,RAB3A,0.98678558,0.200410882,0.477786811
ENSG00000105650,PDE4C,0.015119516,0.985792657,1
ENSG00000105655,ISYNA1,-0.061369674,0.898965633,1
ENSG00000105656,ELL,-0.61682198,0.158579509,0.421228126
ENSG00000105662,CRTC1,0.008828887,0.988257725,1
ENSG00000105664,COMP,2.393706868,0.0186929,0.172383585
ENSG00000105668,UPK1A,-0.315752435,0.770497483,1
ENSG00000105669,COPE,0.2075504,0.714524892,1
ENSG00000105671,DDX49,0.209033189,0.691507588,0.998912191
ENSG00000105672,ETV2,0.159053708,0.849520384,1
ENSG00000105675,ATP4A,3.411047698,0.023268806,0.185058147
ENSG00000105676,ARMC6,0.23842718,0.635897264,0.94608745
ENSG00000105677,TMEM147,-0.064398493,0.901108466,1
ENSG00000105679,GAPDHS,1.698234949,0.215716164,0.503265602
ENSG00000105694,ELOCP28,-0.652612892,0.558797658,0.869194495
ENSG00000105695,MAG,-2.902385996,0.023555538,0.185759112
ENSG00000105696,TMEM59L,3.851677913,0.004824836,0.107208148
ENSG00000105697,HAMP,0.137104865,0.88992474,1
ENSG00000105698,USF2,-0.873129107,0.041837897,0.223402623
ENSG00000105699,LSR,0.381938622,0.555501881,0.866496977
ENSG00000105700,KXD1,0.010919413,0.979547655,1
ENSG00000105701,FKBP8,-0.767788993,0.177419703,0.454257708
ENSG00000105705,SUGP1,-0.154955608,0.701241716,1
ENSG00000105707,HPN,-0.497125528,0.585562213,0.896530968
ENSG00000105708,ZNF14,-0.377257866,0.358415098,0.648304933
ENSG00000105711,SCN1B,-0.270245746,0.60599854,0.917570492
ENSG00000105717,PBX4,0.293242652,0.555008565,0.86606768
ENSG00000105722,ERF,-0.057704002,0.908661772,1
ENSG00000105723,GSK3A,-0.180701107,0.713226421,1
ENSG00000105726,ATP13A1,0.005092071,0.991601358,1
ENSG00000105732,ZNF574,-0.332076644,0.551706461,0.862712632
ENSG00000105737,GRIK5,1.023907807,0.303296875,0.576774246
ENSG00000105738,SIPA1L3,0.142387847,0.746624384,1
ENSG00000105750,ZNF85,0.347132367,0.471141503,0.777560891
ENSG00000105755,ETHE1,-0.333644735,0.561182648,0.871716108
ENSG00000105767,CADM4,0.25444295,0.673298676,0.981729559
ENSG00000105771,SMG9,-0.011084089,0.979461577,1
ENSG00000105778,AVL9,1.097209616,0.009084699,0.135805702
ENSG00000105784,RUNDC3B,0.62967951,0.402206615,0.702676566
ENSG00000105792,CFAP69,0.674238335,0.379916152,0.675283508
ENSG00000105793,GTPBP10,0.647524839,0.073077476,0.283344661
ENSG00000105808,RASA4,-0.679451908,0.260834374,0.560967329
ENSG00000105810,CDK6,0.675347973,0.241946755,0.544663814
ENSG00000105819,PMPCB,0.282701238,0.428248938,0.732474988
ENSG00000105821,DNAJC2,0.689368092,0.079655692,0.289597111
ENSG00000105825,TFPI2,4.987014724,0.001313982,0.059754583
ENSG00000105829,BET1,1.071030308,0.033347873,0.206700084
ENSG00000105835,NAMPT,0.489093581,0.468272159,0.774262028
ENSG00000105849,TWISTNB,0.171450733,0.633929782,0.94425496
ENSG00000105851,PIK3CG,-0.443928845,0.455513379,0.763582375
ENSG00000105852,PON3,-1.325883294,0.071736069,0.28323379
ENSG00000105854,PON2,-0.137825546,0.760525073,1
ENSG00000105855,ITGB8,0.983233385,0.116835666,0.36498639
ENSG00000105856,HBP1,-0.448910044,0.183159059,0.463631428
ENSG00000105865,DUS4L,1.376525672,0.003043743,0.088308598
ENSG00000105866,SP4,0.331388846,0.440908293,0.746966647
ENSG00000105875,WDR91,-0.415088656,0.268238586,0.560967329
ENSG00000105877,DNAH11,1.344859826,0.161772074,0.426784453
ENSG00000105879,CBLL1,-0.113867001,0.707645719,1
ENSG00000105880,DLX5,1.59243059,0.103257679,0.337111852
ENSG00000105887,MTPN,-0.294087507,0.433052466,0.738352379
ENSG00000105889,STEAP1B,4.60339624,0.003926903,0.097861917
ENSG00000105894,PTN,-0.98027079,0.224030686,0.516585892
