# Feature1 Sys. Name	Feature1 Std. Name	Feature2 Sys. Name	Feature2 Std. Name	PE Score	Conf. Score	Direct Score	Indirect Score
YMR190C	SGS1	YMR207C	HFA1	1.003448	0.056704	0	2.006895
YDL185W	TFP1	YDR050C	TPI1	1.003515	0.056713	-0.619608	1.198196
YMR037C	MSN2	YNL287W	SEC21	1.00355	0.056717	-0.929412	0
YIL035C	CKA1	YOR054C	VHS3	1.003585	0.056722	-1.240194	1.971787
YDR510W	SMT3	YHR102W	KIC1	1.003609	0.056725	0.775362	1.231855
YDL126C	CDC48	YGR192C	TDH3	1.003612	0.056726	-2.400801	0.047997
YBL087C	RPL23A	YJL130C	URA2	1.00363	0.056728	0	0
YBL076C	ILS1	YNL287W	SEC21	1.003695	0.056736	-1.54902	0
YDR317W	HIM1	YMR314W	PRE5	1.00373	0.056741	0	2.007459
YGR054W	YGR054W	YGR285C	ZUO1	1.003789	0.056749	0	0
YOL109W	ZEO1	YOR096W	RPS7A	1.003829	0.056754	1.455233	0.552425
YER025W	GCD11	YLR075W	RPL10	1.003861	0.056758	-1.54902	1.747364
YKL018W	SWD2	YNL096C	RPS7B	1.003866	0.056759	0.498752	1.50898
YML098W	TAF13	YOR174W	MED4	1.003876	0.05676	-1.239216	0
YDR128W	YDR128W	YDR311W	TFB1	1.003931	0.056767	2.007862	0
YDR415C	YDR415C	YDR432W	NPL3	1.003936	0.056768	1.701504	0.306368
YBR103W	SIF2	YDR520C	YDR520C	1.003954	0.05677	2.007907	0
YGR042W	YGR042W	YPL016W	SWI1	1.003954	0.05677	2.007907	0
YBR017C	KAP104	YDR062W	LCB2	1.003995	0.056776	-0.309804	0
YGR245C	SDA1	YLR002C	NOC3	1.004001	0.056776	-3.098039	0
YOR014W	RTS1	YPL152W	RRD2	1.00403	0.05678	-0.929412	2.401106
YDL005C	MED2	YOR312C	RPL20B	1.004056	0.056784	0	0.806653
YCL014W	BUD3	YCR030C	SYP1	1.004062	0.056784	-0.619608	0.615133
YGL031C	RPL24A	YHR029C	YHI9	1.004095	0.056789	0	4.529488
YDR101C	ARX1	YFR031C-A	RPL2A	1.004097	0.056789	-1.42616	0.7573
YGR271C-A	YGR271C-A	YPL131W	RPL5	1.004134	0.056794	1.337302	0.670967
YBL027W	RPL19B	YPL138C	SPP1	1.004137	0.056794	0.490958	2.357749
YCL037C	SRO9	YIL018W	RPL2B	1.004186	0.056801	-0.309804	1.155761
YDR314C	YDR314C	YGR034W	RPL26B	1.004189	0.056801	0.922434	1.085944
YDL055C	PSA1	YGL056C	SDS23	1.004343	0.056821	-1.239216	1.09271
YDR198C	YDR198C	YNL039W	BDP1	1.004429	0.056832	2.008858	0
YHR031C	RRM3	YLR335W	NUP2	1.004429	0.056832	2.008858	0
YAR002C-A	ERP1	YKL180W	RPL17A	1.004454	0.056836	0	2.110715
YBR229C	ROT2	YOL086C	ADH1	1.004514	0.056844	1.39497	0.614058
YFL037W	TUB2	YOL149W	DCP1	1.004526	0.056845	-0.929412	0
YBL105C	PKC1	YDL111C	RRP42	1.004565	0.05685	1.554633	1.29493
YAL003W	EFB1	YPL237W	SUI3	1.004597	0.056854	0.094358	1.914836
YBR121C	GRS1	YBR229C	ROT2	1.004602	0.056855	-0.309804	2.319009
YMR227C	TAF7	YOR033C	EXO1	1.004602	0.056855	-0.309804	2.319009
YHR085W	IPI1	YJL177W	RPL17B	1.004619	0.056857	-1.239216	0
YMR308C	PSE1	YMR310C	YMR310C	1.004619	0.056857	-1.239216	0
YNL107W	YAF9	YNL189W	SRP1	1.004646	0.056861	-0.619608	3.469332
