Hugo_Symbol	expr.mean
RUVBL2	0.005025137
CGRRF1	-0.082471724
ACPL2	-0.014867916
WNT10B	0.177297923
BAIAP2L2	0.261910192
ISCA1	-0.03864351
C1orf125	0.161748276
RPAP1	0.011374314
RAI16	-0.029933245
RPL27	-0.012312386
NLRP9	-0.036073126
EPN1	0.018882998
LOC388610	-0.029070384
SLC35A1	-0.008031993
GAL	0.244767367
SLC14A2	0.016453839
RDH11	0.026566746
FAM138F	0.001041133
AUH	-0.05435192
FLJ40243	-0.013455965
C14orf129	-0.076960707
MBD2	0.071006393
ABHD14B	-0.043310329
PIGT	0.035585238
ALS2CR4	0.0480633
ALAS1	0.002165265
FOXO1	0.018150205
CRLF3	0.069008684
C20orf107	0.02449543
FARS2	-0.020617459
CCDC28A	0.008953382
NPHP3	0.018010969
OR13F1	-0.008669104
TSEN54	0.074523766
DEFB106B	-0.005618527
OR8B4	
STH	0.021139852
ZC3H14	-0.017419333
CBX2	-0.04386106
TMEM49	0.093542505
C6orf21	-0.000180073
FLJ20920	-0.085262797
CRTAP	-0.041681633
DDX50	-0.005055302
STYXL1	-0.0353117
BLVRB	-0.040610598
LOC147650	-0.005590786
MMP24	-0.023064899
GRID1	-0.037710618
BANF1	0.0266426
CTAGEP	0.016195155
HMBS	0.018559415
SLC25A24	-0.000418355
C14orf50	0.073882541
MRO	0.080431439
SLC25A15	0.034932815
FAM84B	0.028341499
TDP1	0.004983547
C16orf78	-0.001141991
C11orf57	0.049181901
RFK	0.018911792
ZFYVE9	-0.074999327
STCH	0.02063053
WIBG	-0.00938574
LOC283871	0.041341982
GBA2	-0.011673309
NDUFB3	0.019276508
HSD17B13	0.094402346
GRIN3A	0.138738527
FMNL1	-0.014823605
7-Sep	0.011238208
GNLY	-0.049002742
GRAMD1C	-0.016052943
ZNF165	0.048817642
USP38	0.012645795
FAM83A	0.330787563
C14orf24	0.018863563
ARMCX3	-0.058534735
ARHGDIB	-0.057390331
AK1	-0.013821984
KIAA1045	0.11507785
NEU2	
HIST1H4B	0.019084865
FAM20B	-0.003025594
HES2	0.158553574
FAM73B	-0.001344181
LOC388381	0.035467245
INTS7	-0.042722616
AMPH	0.135198203
ZNF775	-0.01725457
UCKL1	0.057231265
C10orf97	-0.060357861
C1orf161	0.002175962
ALDH1L1	0.353418647
FLJ39378	-0.010516715
SLC23A1	0.0668766
RBM4B	0.015898537
THAP4	-0.008191941
OGFRL1	0.145463894
KIAA0831	-0.036284344
PPP1R15A	0.053897914
C1orf96	0.036187519
C12orf11	0.134987203
BMF	6.57E-05
MAN1A1	-0.069759804
KIAA1600	-0.026763327
NLGN4X	0.174962218
ALOX12	0.07695642
RB1CC1	0.054453119
NEIL2	-0.025417002
EIF4E	-0.013622139
ABHD5	0.023849634
EXOC4	-0.014128283
CIP29	0.014585318
BATF2	0.13432404
SLC29A4	0.095755256
HTR4	0.030673216
EMB	-0.037314899
TRAF6	-0.024000457
LMNB1	-0.19240585
FAM19A5	0.104687614
SHE	0.046381016
PIK3C2B	-0.014434035
C15orf15	-0.003332541
USP15	0.013488665
TCEAL2	0.080488117
C5orf39	0.013831506
PTGER2	0.109435558
SLC31A1	0.012622457
IFT172	0.015648995
ADAM29	0.019948355
GFOD1	0.05974543
ST7L	-0.002010976
C15orf26	0.119851921
PKN3	0.068376143
CNTD1	-0.127881186
COMMD1	0.000673218
NTRK2	0.159513289
FOXN3	0.013140768
MFGE8	0.120114077
PFKFB2	0.031830896
TAS2R4	-0.001288389
ENTHD1	0.169263879
PRMT5	-0.001935428
MGC16384	0.000829982
LOC442229	0.076877208
TSKU	0.14626234
KRTCAP3	-0.217021252
PDLIM1	0.020855232
KCNS2	0.007594302
RNF126	0.015222731
CEP63	-0.009929388
CLIC4	-0.025914077
hCG_1990170	0.585074651
ACR	0.137140525
KLK7	0.443016152
ALOX5AP	-0.11773087
RIPK3	-0.157994973
TAS2R9	-0.005057587
C19orf18	-0.03233638
BIRC6	0.006911322
ZNF16	0.051987203
RFT1	0.023045704
SLC8A2	0.01913909
TACC1	0.005687843
ITGAD	0.057661185
SAMHD1	-0.010767367
