ORF	GPL51-01 (GSM854) heat shock 05 min	GPL51-02 (GSM855) heat shock 10 min	GPL51-03 (GSM856) heat shock 15 min	GPL51-05 (GSM864) heat shock 20 min repeat	GPL51-06 (GSM865) heat shock 40 min	GPL51-07 (GSM868) heat shock 60 min	GPL51-08 (GSM872) heat shock 80 min
ASP3-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACS2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SST2	-1.236	-1.711	0.0	0.0	0.0	0.0	0.0
FMP27	0.0	0.0	0.0	0	0	0	0
YLR456W	0	0.0	0.0	0.0	0.0	0.0	0
YLR458W	0	0.0	0.0	0.0	0.0	0.0	0.0
YLR460C	0.0	0.0	0.0	0.0	0.0	-1.113	-1.951
YLR462W	0.0	-1.691	0.0	0.0	0.0	0.0	0.0
YML096W	0.0	0.0	-1.045	0.0	0.0	0.0	0.0
TAF13	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TSL1	5.084	5.316	6.476	6.414	4.821	3.701	3.315
CAC2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MDM1	0	0	0	0	0	0	0
URA5	0.0	-1.353	-1.813	-1.983	0.0	0.0	0.0
UBX4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NAT4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TVP18	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IRC21	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RCO1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VPS20	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DDR48	1.312	2.054	2.14	2.64	1.981	1.81	1.398
MMT1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SPT21	0.0	-1.042	-1.22	-1.089	0.0	0.0	0.0
YMR181C	1.046	1.997	2.286	1.792	0.0	0.0	0.0
SSO2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YMR185W	0.0	-1.52	-2.313	-2.197	-1.884	0.0	0.0
CAT8	0	0.0	0.0	0.0	1.865	0	0
AEP2	0.0	0.0	0.0	0.0	0.0	0	0.0
YKU70	0	0.0	0.0	0.0	0.0	0	0
DSS1	0	0.0	0.0	0	0.0	0	0.0
ABZ2	0.0	0.0	0.0	0.0	0.0	0	0.0
YMR291W	2.806	2.671	3.174	3.197	1.754	1.023	0.0
MSG5	-1.269	0.0	0.0	0.0	0.0	-1.494	0.0
POR1	0.0	1.877	2.301	2.374	2.245	1.426	1.139
YNL057W	0.0	1.026	1.035	1.13	0.0	0.0	0.0
ARP5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NOP2	-1.292	-3.447	-4.928	-3.927	-1.543	0.0	0.0
MTQ1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PGA2	0.0	0.0	-1.377	-1.06	0.0	0.0	0.0
RPC31	0.0	-1.51	-2.707	-2.055	-1.601	0.0	0.0
GIM3	0.0	0.0	-1.107	0.0	0.0	0.0	0.0
YNL155W	0.0	1.131	0.0	1.406	0.0	0.0	0.0
IGO1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASI2	0.0	1.473	1.513	1.302	0	0.0	0.0
CWC25	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YNL247W	0.0	-1.459	-1.853	-1.793	-1.337	0.0	0.0
MPA43	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NRD1	0.0	0.0	-1.17	0.0	-1.2	0.0	0.0
TEX1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GIS2	0.0	-1.205	-2.307	-1.949	-1.803	0.0	0.0
ATO2	0	3.157	3.999	0	0.0	0	0
YNR004W	0.0	0.0	0.0	0.0	0.0	0	0
VPS27	0	0.0	0.0	0.0	0.0	0	0
LRO1	0.0	0.0	0.0	0.0	0.0	0	0
CSE2	0.0	0.0	0	0	0	0	0
URK1	-1.097	-1.879	-2.643	-2.495	0.0	0.0	0.0
DIS3	0.0	-1.834	-1.33	-1.38	0.0	0.0	0.0
IFM1	0	0.0	0.0	0.0	0.0	0.0	0.0
LAG2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MDM38	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YOL029C	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SIL1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MSN1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YOL118C	1.043	0.0	0.0	0.0	0.0	0.0	0
