Gene,logFC,FDR adjusted Pvalue
2670,2.95596974,6.95E-11
51285,1.04498967,7.36E-11
10379,-0.82292224,7.75E-11
11214,0.680281599,7.75E-11
51148,0.906235434,7.75E-11
4239,1.865431149,7.93E-11
123920,0.669256316,8.49E-11
23543,0.624678955,8.86E-11
6004,1.232819338,8.86E-11
861,1.003378668,9.38E-11
223117,1.910589393,9.41E-11
10699,1.936007387,1.02E-10
9068,1.952566995,1.19E-10
6373,-1.746964491,1.23E-10
57597,1.478611686,1.31E-10
1740,1.568316063,1.39E-10
2191,1.843242081,1.39E-10
8851,0.926673941,1.45E-10
340146,2.377584322,1.51E-10
57556,1.487815394,1.54E-10
4804,2.258461843,1.61E-10
23187,0.742224726,1.62E-10
1272,1.793724448,1.63E-10
7025,1.320552961,1.64E-10
9201,1.57259362,1.69E-10
7837,1.148325929,1.70E-10
57477,1.078346098,1.91E-10
23164,0.5684418,1.93E-10
9358,2.007016438,1.94E-10
90102,1.349375776,2.04E-10
57616,1.128553625,2.10E-10
54843,1.045990094,2.15E-10
7431,0.950406135,2.15E-10
23237,2.179786,2.17E-10
1960,1.672868857,2.22E-10
5284,-3.302778633,2.26E-10
27115,1.13489063,2.30E-10
54905,2.83929378,2.35E-10
138716,-0.780407202,2.35E-10
64135,-1.127952925,2.36E-10
358,0.961137953,2.47E-10
10537,-2.08998347,2.50E-10
3106,-1.085330688,2.50E-10
3133,-0.718157173,2.62E-10
3107,-1.025568674,2.72E-10
4045,1.880486735,2.82E-10
1840,1.09579136,2.87E-10
80206,1.228772178,2.89E-10
1101,1.611825887,2.91E-10
85449,1.658321487,2.92E-10
9060,0.95682743,2.94E-10
9853,0.729865603,3.08E-10
8510,1.252149623,3.21E-10
22918,0.733991543,3.21E-10
1690,-2.315151887,3.50E-10
51294,0.758856817,3.54E-10
5328,1.215813224,3.58E-10
9260,0.76300362,3.93E-10
9715,1.247042519,4.14E-10
30968,-0.655209946,4.14E-10
727936,1.071571133,4.88E-10
1003,0.752204653,5.23E-10
55384,1.780426129,5.45E-10
1513,1.530455287,5.59E-10
4049,-1.259405347,5.91E-10
10642,2.646924493,6.00E-10
8743,-1.391565474,6.35E-10
4629,1.898736048,6.35E-10
83698,-2.690204138,6.36E-10
387763,1.412039769,6.61E-10
3620,-1.770690958,6.92E-10
56849,1.290803254,7.26E-10
56954,-0.637153776,7.26E-10
4038,1.679756722,7.60E-10
10687,1.699573329,7.76E-10
2690,1.413515984,7.77E-10
8707,1.565663674,8.01E-10
8076,1.88790597,8.68E-10
23345,0.925368973,8.70E-10
84466,2.182280905,8.89E-10
57568,0.916044828,9.07E-10
5350,1.973946937,9.42E-10
221395,0.7104335,9.66E-10
7122,1.293488677,9.84E-10
1299,2.132353411,1.01E-09
4660,0.862500992,1.09E-09
83892,0.446099815,1.10E-09
9839,0.763850717,1.11E-09
81855,0.648687015,1.11E-09
108,2.92850518,1.14E-09
257194,1.87732158,1.16E-09
5687,-0.657473231,1.17E-09
5138,1.194643621,1.18E-09
150,1.685830224,1.21E-09
25805,1.626399156,1.22E-09
25,0.615473438,1.25E-09
51705,1.004923614,1.26E-09
143872,1.042890193,1.28E-09
23143,0.628174522,1.37E-09
9890,1.354847314,1.46E-09
4884,1.519772043,1.51E-09
6737,-0.687178249,1.56E-09
27122,0.938683726,1.56E-09
64928,-0.699053121,1.61E-09
90019,2.516106062,1.61E-09
1311,2.309963948,1.61E-09
567,-0.82043547,1.64E-09
6899,1.927112207,1.66E-09
1303,1.268487336,1.66E-09
4602,-1.240499012,1.68E-09
6332,2.245748641,1.75E-09
116835,1.050273459,1.75E-09
4690,-0.602112789,1.85E-09
1288,1.609737952,1.89E-09
7010,1.026870683,1.92E-09
84886,0.592221432,1.92E-09
56978,0.992703053,2.08E-09
5686,-0.612911129,2.09E-09
24141,1.475409131,2.14E-09
114898,1.184554093,2.29E-09
91663,0.862832508,2.32E-09
83552,0.90284371,2.33E-09
57537,1.851551095,2.42E-09
54206,1.017851271,2.63E-09
10437,-0.890916305,2.71E-09
8611,0.643485131,2.88E-09
64399,1.981391958,3.07E-09
4053,0.936430686,3.11E-09
9507,1.239703741,3.29E-09
22899,0.852708943,3.35E-09
1359,2.250400215,3.49E-09
90871,-0.804035813,3.57E-09
5125,1.226557706,3.69E-09
9811,0.714085706,3.76E-09
23024,1.045905484,3.83E-09
283807,0.873018283,3.87E-09
56109,1.403083192,3.88E-09
91624,1.014864575,3.89E-09
6876,1.264738844,3.89E-09
25925,1.476064166,3.91E-09
7798,0.61139494,4.00E-09
92949,1.551765961,4.06E-09
9241,1.731935295,4.06E-09
1306,0.978086566,4.10E-09
219348,1.813471692,4.36E-09
8111,1.033582532,4.70E-09
1378,1.480320918,4.73E-09
3671,1.192198481,4.73E-09
342897,2.269372858,4.81E-09
5228,1.093123334,5.02E-09
8496,0.822037634,5.02E-09
92196,-1.947997357,5.06E-09
55714,2.074282587,5.11E-09
9447,-1.348421225,5.17E-09
27086,0.536738463,5.23E-09
56301,2.427805827,5.52E-09
93166,1.347809415,5.52E-09
55243,0.865062823,5.68E-09
25928,2.300179941,5.76E-09
22982,0.839179455,5.94E-09
26289,1.590099778,6.72E-09
387597,1.691271989,6.81E-09
2687,0.923197332,6.90E-09
3845,1.169215459,7.09E-09
1296,1.198312714,7.18E-09
3772,1.368799411,7.33E-09
5351,0.637905281,7.51E-09
5366,-0.99246972,7.93E-09
1265,0.919207094,7.93E-09
64422,-0.452276339,8.17E-09
26508,0.9362706,8.19E-09
6403,1.473211561,8.20E-09
8532,1.218376842,8.50E-09
338328,1.461454393,8.68E-09
1113,-3.04549192,8.81E-09
5737,2.078900503,9.10E-09
10591,-0.763985864,9.10E-09
80775,-0.608418206,9.30E-09
482,1.83504521,9.31E-09
54629,0.687664822,9.45E-09
80177,0.765995811,9.46E-09
30008,0.793077959,9.60E-09
80210,0.570172661,1.01E-08
10216,2.41990488,1.01E-08
64761,-0.777250941,1.02E-08
9630,1.151825158,1.06E-08
3672,0.69852962,1.12E-08
152195,-0.794983901,1.12E-08
51010,-0.508263763,1.12E-08
79652,0.760435637,1.13E-08
415,2.134067421,1.14E-08
1280,2.930295889,1.17E-08
5322,1.534005086,1.20E-08
22915,1.755294201,1.21E-08
8506,0.899142812,1.21E-08
6772,-0.823719581,1.21E-08
1943,2.778149476,1.22E-08
259232,1.59891508,1.22E-08
595,1.276654445,1.23E-08
286676,-0.692055547,1.24E-08
64108,-1.098796373,1.27E-08
54751,0.832744377,1.28E-08
163782,1.734068793,1.29E-08
114879,0.640034737,1.32E-08
5106,-0.696911325,1.38E-08
3122,-1.075370626,1.39E-08
54957,-0.71076054,1.39E-08
85407,1.204338712,1.41E-08
4261,-1.15702272,1.43E-08
9636,-1.347231742,1.55E-08
3082,1.327290729,1.56E-08
92610,-0.593643114,1.56E-08
64236,0.726595009,1.60E-08
5692,-0.555484216,1.61E-08
813,0.500813834,1.61E-08
23583,-0.570728678,1.71E-08
29126,-1.089586299,1.72E-08
56944,0.929645927,1.73E-08
9719,1.15895916,1.74E-08
6515,1.108716307,1.74E-08
11277,-0.705855262,1.78E-08
3113,-1.130677655,1.85E-08
90332,0.780511055,1.85E-08
7140,2.818771235,1.85E-08
5066,0.890975664,1.89E-08
11015,0.879189446,1.91E-08
136227,1.949851216,1.91E-08
9023,1.299422787,1.91E-08
26270,-0.789369367,1.94E-08
4320,1.723123837,1.95E-08
10769,1.034307612,2.07E-08
51056,-0.675305755,2.12E-08
23670,0.826581168,2.17E-08
25759,1.342035783,2.18E-08
9315,0.814015638,2.18E-08
81620,-0.804819711,2.20E-08
84552,0.727890654,2.25E-08
9370,3.560733982,2.34E-08
11274,-1.033483508,2.39E-08
54539,-0.766595169,2.41E-08
57701,0.561729539,2.46E-08
221037,0.663422966,2.50E-08
84191,-0.563382794,2.53E-08
6560,0.615068884,2.55E-08
4595,-0.69612447,2.56E-08
3479,1.219381694,2.66E-08
23051,0.710410201,2.66E-08
171024,1.28224756,2.69E-08
125,2.739884078,2.70E-08
9922,0.581235536,2.70E-08
196740,1.191037493,2.73E-08
3991,1.028432726,2.77E-08
134111,1.64466756,2.84E-08
84890,0.634536529,2.85E-08
9533,-0.540102315,2.85E-08
5961,1.294658388,2.85E-08
11248,0.987591941,2.89E-08
23462,1.301343943,2.90E-08
3340,0.672063543,2.92E-08
1809,1.030115323,2.92E-08
10052,1.055514897,3.01E-08
9244,2.203668395,3.03E-08
152503,0.657157087,3.15E-08
260293,-1.444987972,3.16E-08
4325,1.325202912,3.28E-08
51474,0.603651459,3.33E-08
7045,0.866870468,3.37E-08
4921,1.12536888,3.42E-08
3164,1.438652213,3.63E-08
2294,1.108856566,3.69E-08
5157,1.039216696,3.71E-08
7386,-0.898203027,3.76E-08
148932,-0.58944104,3.76E-08
2633,-0.940754473,3.77E-08
2819,1.785836168,3.81E-08
10894,1.439042008,3.82E-08
356,-1.324720973,3.94E-08
55916,-0.803483829,3.95E-08
3431,-0.740539466,4.02E-08
3434,-1.315671678,4.02E-08
23627,1.754721463,4.04E-08
8820,-0.89434317,4.11E-08
2584,-0.669419,4.16E-08
4675,1.095151545,4.28E-08
2706,1.431051054,4.29E-08
8458,-0.693602144,4.36E-08
54510,0.979113342,4.41E-08
117581,1.570526808,4.50E-08
60489,-0.907584918,4.50E-08
3109,-1.101917776,4.83E-08
3801,0.782085968,4.95E-08
79633,0.983562767,5.08E-08
80781,0.743740891,5.08E-08
9697,0.533523923,5.11E-08
6092,1.544333066,5.13E-08
84419,-1.325188736,5.29E-08
55785,0.737510031,5.34E-08
51267,0.859042684,5.34E-08
11185,1.332991135,5.49E-08
10253,1.25980441,5.49E-08
23129,0.721576522,5.54E-08
5335,0.61882646,5.62E-08
27319,1.493921404,5.62E-08
168667,1.623670436,5.68E-08
9612,0.634386874,5.69E-08
10775,-1.009409265,5.77E-08
8673,-0.634151807,5.81E-08
7368,-1.161786138,5.83E-08
4922,-2.957009321,5.93E-08
26056,0.614558921,5.96E-08
3123,-1.161951667,5.97E-08
10580,0.810321832,5.97E-08
3429,-1.306876088,6.02E-08
219537,-1.352195727,6.15E-08
5818,0.861479297,6.20E-08
2304,2.956191544,6.23E-08
4311,1.724515122,6.24E-08
25983,-0.542329157,6.36E-08
3437,-1.116487414,6.50E-08
5710,-0.494028133,6.69E-08
79070,0.751318533,6.77E-08
221935,1.345049971,6.78E-08
2898,1.368924398,6.98E-08
164284,1.648829011,7.28E-08
55742,0.471920396,7.37E-08
1821,1.06078389,7.37E-08
11217,0.857072817,7.50E-08
147372,1.714213822,7.50E-08
3399,0.993073034,7.59E-08
3111,-1.350783453,7.72E-08
3433,-1.114200283,7.79E-08
2307,1.129141979,8.00E-08
6581,1.640723564,8.19E-08
56975,0.956817848,8.23E-08
7075,0.737022927,8.29E-08
56062,1.293257815,8.29E-08
115362,-1.206418437,8.50E-08
4256,1.274030821,8.50E-08
1954,0.777075497,8.50E-08
54948,-0.512360256,8.58E-08
285382,1.05998927,8.89E-08
84904,-0.7751887,9.06E-08
493753,-0.471882551,9.38E-08
1749,1.940236239,9.40E-08
10561,-1.033042783,9.65E-08
80381,0.533986458,9.75E-08
255743,1.213256551,9.77E-08
3976,1.179052763,9.77E-08
84331,-0.727999539,9.77E-08
130132,0.956072155,9.81E-08
3028,-0.598997242,1.00E-07
2820,-0.620971924,1.00E-07
5218,0.835054507,1.00E-07
7881,0.876539321,1.00E-07
349136,1.350532021,1.02E-07
3127,-1.48162584,1.03E-07
81493,1.107571476,1.05E-07
1601,0.682497061,1.07E-07
1805,1.885948985,1.07E-07
11228,1.406064637,1.08E-07
7168,0.602485997,1.08E-07
219699,0.924988342,1.08E-07
10553,-0.780314953,1.09E-07
81030,-1.549765624,1.09E-07
8516,1.572472876,1.12E-07
222865,1.45249395,1.15E-07
26064,0.787536356,1.19E-07
2791,0.904777336,1.19E-07
1833,2.368779625,1.22E-07
56097,1.210493165,1.25E-07
5339,0.864708651,1.25E-07
6846,-1.33350973,1.28E-07
23549,-0.420068501,1.28E-07
55897,-1.33180571,1.30E-07
4920,1.096235266,1.31E-07
54840,-0.509980873,1.33E-07
1901,0.693274656,1.38E-07
80833,-0.935029665,1.39E-07
387758,1.130048211,1.40E-07
51510,-0.574405887,1.42E-07
55168,-0.554269582,1.46E-07
2202,1.274531789,1.46E-07
87,0.52177751,1.47E-07
10870,-0.785776595,1.48E-07
10651,-0.488560102,1.56E-07
7482,1.664165236,1.58E-07
441168,-1.181311104,1.62E-07
64123,0.704009184,1.64E-07
57167,1.43816745,1.65E-07
3036,2.203027183,1.66E-07
200634,-0.869320682,1.67E-07
144717,0.577370833,1.68E-07
221908,-0.606744531,1.72E-07
3965,-0.837270732,1.75E-07
140886,1.212928914,1.76E-07
154141,-0.689317028,1.77E-07
4739,1.105800887,1.78E-07
10516,0.94778832,1.78E-07
10631,1.821905048,1.80E-07
5320,2.40915054,1.82E-07
91614,0.939147103,1.83E-07
79005,-0.565659025,1.83E-07
972,-0.955114601,1.89E-07
55203,1.178720277,1.91E-07
169611,1.176840036,1.98E-07
5069,1.504341697,2.01E-07
7453,-0.721288106,2.06E-07
55504,0.957626365,2.08E-07
2631,-0.492185631,2.09E-07
23299,0.498030291,2.09E-07
84319,-0.50440464,2.11E-07
8638,-1.265014198,2.12E-07
9564,0.544564628,2.14E-07
256949,0.800526996,2.16E-07
2189,-0.566969875,2.16E-07
4326,1.54600358,2.18E-07
64748,0.70849504,2.27E-07
57188,1.324268102,2.30E-07
27074,-1.218478435,2.33E-07
3142,0.672757039,2.35E-07
25959,0.626799922,2.36E-07
54931,-0.478679591,2.38E-07
11119,-0.670569234,2.38E-07
40,2.296038021,2.38E-07
23586,-0.912663096,2.39E-07
50863,1.794058543,2.40E-07
4901,-0.659258654,2.40E-07
51363,0.889621183,2.45E-07
653145,1.858945557,2.45E-07
3699,1.460641704,2.58E-07
23359,1.47932964,2.62E-07
60681,0.645263782,2.66E-07
10964,-1.150525872,2.66E-07
4938,-1.060112421,2.67E-07
25816,-0.760260009,2.68E-07
4283,-1.564258475,2.68E-07
10150,0.533332867,2.69E-07
51421,0.634287817,2.74E-07
55022,1.200117838,2.75E-07
57142,0.422460486,2.75E-07
2532,1.335609812,2.76E-07
8630,0.994771762,2.79E-07
54625,-0.778530914,2.82E-07
1723,-0.622516977,2.82E-07
90853,1.184907136,2.86E-07
116028,-0.786375137,2.94E-07
104,0.706986227,2.94E-07
874,-1.132028102,2.94E-07
83666,-0.706124218,2.97E-07
6659,0.688243555,2.98E-07
9653,0.399460204,3.05E-07
477,1.864325996,3.10E-07
