Bait,Prey,UniProt,HEKScore,JurkatScore,Score
TAT,DCAF16,Q9NXF7,0.838,0,0.419
TAT,FBN2,P35556,0.838,0,0.419
TAT,USP11,P51784,0.825,0,0.412
TAT,FAM98A,Q8NCA5,0.811,0,0.406
TAT,ZNF579,Q8NAF0,0.808,0,0.404
TAT,FBXO3,Q9UK99,0.789,0,0.394
TAT,UBE2O,Q9C0C9,0.764,0,0.382
TAT,HNRNPH3,P31942,0.764,0,0.382
TAT,MLLT1,Q03111,0.759,0,0.38
TAT,SRRM2,Q9UQ35,0.761,0,0.38
REV,TMED9,Q9BVK6,0.861,0.677,0.769
REV,TMED10,P49755,0.868,0.46,0.664
REV,MRPS9,P82933,0.404,0.772,0.588
REV,SSBP1,Q04837,0.76,0.325,0.542
REV,MRPS28,Q9Y2Q9,0.326,0.759,0.542
REV,TMED4,Q7Z7H5,0.892,0,0.446
REV,IK,Q13123,0.851,0,0.425
REV,MRPL42,Q9Y6G3,0.841,0,0.42
REV,CHCHD1,Q96BP2,0.821,0,0.411
REV,SPATS2,Q86XZ4,0.81,0,0.405
REV,MITD1,Q8WV92,0,0.795,0.398
REV,KIF21B,O75037,0,0.782,0.391
REV,MPG,P29372,0.773,0,0.387
REV,MRS2,Q9HD23,0.771,0,0.385
REV,SMU1,Q2TAY7,0.763,0,0.382
REV,GPATCH4,Q5T3I0,0.764,0,0.382
NEF,ACOT8,O14734,0.956,0.832,0.894
NEF,NMT1,P30419,0.874,0.891,0.883
NEF,MTHFD2,P13995,0.791,0.228,0.51
NEF,ERGIC1,Q969X5,0,0.778,0.389
NEF,EXOC4,Q96A65,0,0.769,0.385
NEF,CDKN2A,P42771,0.768,0,0.384
NEF,SDHA,P31040,0.765,0,0.382
NEF,MTCH1,Q9NZJ7,0.752,0,0.376
GP160,GANAB,Q14697,0.947,0.971,0.959
GP160,DNAJB11,Q9UBS4,0.931,0.968,0.949
GP160,ERLEC1,Q96DZ1,0.854,0.971,0.913
GP160,LMAN1,P49257,0.895,0.916,0.905
GP160,SDF2L1,Q9HCN8,0.889,0.911,0.9
GP160,SEL1L,Q9UBV2,0.818,0.955,0.887
GP160,PRKCSH,P14314,0.922,0.841,0.882
GP160,SDF2,Q99470,0.829,0.931,0.88
GP160,CALR,P27797,0.915,0.819,0.867
GP160,CKAP4,Q07065,0.812,0.919,0.865
GP160,SUN1,O94901,0.808,0.825,0.816
GP160,UGGT1,Q9NYU2,0.651,0.979,0.815
GP160,ITM2B,Q9Y287,0.774,0.831,0.802
GP160,CANX,P27824,0.861,0.667,0.764
GP160,VDAC2,P45880,0.775,0.69,0.733
GP160,PSMA1,P25786,0.755,0.705,0.73
GP160,PHB,P35232,0.579,0.758,0.668
GP160,COX4I1,P13073,0.87,0.445,0.657
GP160,RPN1,P04843,0.309,0.866,0.587
GP160,ATP2A2,P16615,0.346,0.813,0.58
GP160,P4HB,P07237,0.939,0.151,0.545
GP160,PGRMC1,O00264,0.173,0.831,0.502
GP160,PON2,Q15165,0.932,0,0.466
GP160,OS9,Q13438,0,0.915,0.457
GP160,ATL3,Q6DD88,0,0.911,0.455
GP160,SEH1L,Q96EE3,0,0.895,0.448
GP160,CHAF1B,Q13112,0,0.896,0.448
GP160,DSC3,Q14574,0.863,0,0.432
GP160,ACBD3,Q9H3P7,0,0.862,0.431
GP160,PDIA3,P30101,0,0.862,0.431
GP160,SSR4,P51571,0.091,0.769,0.43
GP160,TRBC1,P01850,0,0.861,0.43
GP160,APP,P05067,0.85,0,0.425
GP160,CAPN1,P07384,0,0.839,0.42
GP160,LMAN2,Q12907,0,0.839,0.42
GP160,FUT8,Q9BYC5,0.838,0,0.419
GP160,NGLY1,Q96IV0,0,0.834,0.417
GP160,ITGB2,P05107,0,0.831,0.415
GP160,ITGAL,P20701,0,0.829,0.414
GP160,HLA-C,P30508; Q29960; Q95604; P30510; P30505; Q29963,0.824,0,0.412
GP160,SEC61A1,P61619,0,0.822,0.411
GP160,TRBV12-3,P01733,0,0.811,0.406
GP160,HLA-A,P01892; P04439,0.81,0,0.405
GP160,CLGN,O14967,0,0.792,0.396
GP160,DHCR24,Q15392,0,0.785,0.393
GP160,CTSD,P07339,0,0.784,0.392
GP160,LDLR,P01130,0,0.784,0.392
GP160,TMEM38B,Q9NVV0,0,0.784,0.392
GP160,RHOC,P08134,0,0.784,0.392
GP160,HSPH1,Q92598,0,0.784,0.392
GP160,CLN6,Q9NWW5,0,0.785,0.392
GP160,ERGIC2,Q96RQ1,0,0.782,0.391
GP160,AP1M1,Q9BXS5,0,0.782,0.391
GP160,CHI3L2,Q15782,0,0.783,0.391
GP160,KIR3DL2,P43630,0,0.78,0.39
GP160,HM13,Q8TCT9,0,0.781,0.39
GP160,C20orf24,Q9BUV8,0,0.781,0.39
GP160,RNF5,Q99942,0,0.781,0.39
GP160,FLOT1,O75955,0.774,0,0.387
GP160,ATP2A3,Q93084,0,0.772,0.386
GP160,MESDC2,Q14696,0,0.766,0.383
GP160,ERGIC3,Q9Y282,0,0.763,0.381
GP160,KIR3DL1,P43629,0,0.76,0.38
GP160,VDAC1,P21796,0.755,0,0.378
GP160,PSMB6,P28072,0.754,0,0.377
GP160,HLA-B,P30685; P10319; P18465; P30464; P30484; P30491; P30492; P30493; P30495; Q29940,0.753,0,0.376
GP120,DNAJB11,Q9UBS4,0.958,0.954,0.956
GP120,SDF2,Q99470,0.856,0.981,0.919
GP120,SDF2L1,Q9HCN8,0.916,0.909,0.912
GP120,HYOU1,Q9Y4L1,0.775,0.96,0.868
GP120,SDF4,Q9BRK5,0.856,0.861,0.859
GP120,CALU,O43852,0.73,0.964,0.847
GP120,GANAB,Q14697,0.909,0.732,0.82
GP120,HSP90B1,P14625,0.672,0.91,0.791
GP120,RCN2,Q14257,0.352,0.994,0.673
GP120,PRKCSH,P14314,0.935,0.36,0.647
GP120,CALR,P27797,0.301,0.989,0.645
GP120,LSM12,Q3MHD2,0.259,0.842,0.55
GP120,SUMF2,Q8NBJ7,0,0.991,0.496
GP120,TXNDC5,Q8NBS9,0,0.986,0.493
